asset_id,purchase_date,device_type,department,region,brand,model_year,age_in_months,battery_cycles,battery_health_percent,smart_sectors_reallocated,thermal_events_count,daily_usage_hours,usage_type,os,overheating_issues,performance_rating,total_incidents,critical_incidents,high_incidents,medium_incidents,low_incidents,avg_resolution_time_hours,incident_rate_per_month,critical_incident_ratio,battery_degradation_rate,thermal_events_per_month,risk_score,risk_label,data_completeness,created_at,purchase_year,age_in_months_recalc
LAP-0036,2024-09-28 12:28:48.000000000,laptop,Finance,EU,Acer,2023,17,410,85.0,80,2,6.0,Office,Windows,False,4,2,0,0,0,2,4.47,1.176,0.0,0.8824,0.1176,0.261,low,0.8,2024-10-20 12:28:48.000000000,2023,35
LAP-0037,2023-10-29 16:19:12.000000000,laptop,Finance,EU,Apple,2023,28,260,93.0,48,4,8.0,Programming,macOS,False,5,2,0,0,0,2,3.33,0.714,0.0,0.25,0.1429,0.208,low,1.0,2023-11-07 16:19:12.000000000,2024,24
LAP-0038,2023-08-29 19:12:00.000000000,laptop,IT,EU,HP,2022,30,870,61.0,100,24,4.0,Student,Windows,True,2,8,0,1,3,4,5.76,2.667,0.0,1.3,0.8,0.536,medium,1.0,2023-09-27 19:12:00.000000000,2020,71
LAP-0039,2023-09-29 05:45:36.000000000,laptop,IT,US,Dell,2023,29,450,84.0,77,8,6.0,Office,Windows,False,4,2,0,0,0,2,7.78,0.69,0.0,0.5517,0.2759,0.306,low,1.0,2023-10-14 05:45:36.000000000,2023,35
LAP-0040,2025-08-29 08:38:24.000000000,laptop,Engineering,US,Lenovo,2024,6,330,91.0,53,5,8.0,Programming,Windows,False,5,1,0,0,0,1,5.46,1.0,0.0,1.5,0.8333,0.171,low,1.0,2025-09-03 08:38:24.000000000,2024,24
LAP-0041,2025-03-30 03:50:24.000000000,laptop,Engineering,US,Asus,2024,11,640,74.0,100,8,6.0,Office,Windows,False,3,7,0,0,2,5,8.4,6.364,0.0,2.3636,0.7273,0.39,medium,1.0,2025-04-22 03:50:24.000000000,2021,59
LAP-0042,2025-08-29 08:38:24.000000000,laptop,Finance,US,Acer,2024,6,190,97.0,28,4,5.0,Student,Windows,False,5,2,0,0,0,2,2.76,2.0,0.0,0.5,0.6667,0.112,low,0.71,2025-09-11 08:38:24.000000000,2025,12
LAP-0043,2022-03-30 07:40:47.999999992,laptop,HR,India,Apple,2022,47,760,78.0,100,2,7.0,Creative,macOS,False,3,8,0,0,3,5,5.65,1.702,0.0,0.4681,0.0426,0.441,medium,1.0,2022-04-13 07:40:47.999999992,2020,71
LAP-0044,2024-04-29 07:40:47.999999992,laptop,Sales,India,HP,2024,22,560,79.0,100,7,6.0,Office,Windows,False,3,6,0,0,2,4,9.45,2.727,0.0,0.9545,0.3182,0.386,medium,1.0,2024-05-19 07:40:47.999999992,2022,47
LAP-0045,2023-03-30 14:23:59.999999992,laptop,Engineering,US,Dell,2023,35,340,90.0,53,9,8.0,Programming,Windows,False,5,0,0,0,0,0,0.0,0.0,0.0,0.2857,0.2571,0.24,low,1.0,2023-04-14 14:23:59.999999992,2024,24
LAP-0046,2020-08-28 23:02:23.999999983,laptop,Engineering,India,Lenovo,2020,66,820,48.0,84,42,5.0,Student,Windows,True,3,15,2,5,4,4,8.4,2.273,0.1333,0.7879,0.6364,0.754,high,1.0,2020-09-13 23:02:23.999999983,2020,71
LAP-0047,2024-08-29 01:55:11.999999992,laptop,IT,India,Asus,2024,18,470,84.0,70,0,6.0,Office,Windows,False,4,5,0,0,2,3,7.81,2.778,0.0,0.8889,0.0,0.267,low,1.0,2024-09-21 01:55:11.999999992,2023,35
LAP-0048,2022-09-28 23:02:24.000000000,laptop,Engineering,EU,Acer,2021,41,710,69.0,100,39,9.0,Gaming,Windows,True,2,11,0,2,4,5,11.88,2.683,0.0,0.7561,0.9512,0.629,high,1.0,2022-10-11 23:02:24.000000000,2022,47
LAP-0049,2020-12-28 17:16:48.000000000,laptop,Sales,US,Apple,2020,62,380,48.0,76,38,7.0,Programming,macOS,False,3,14,3,3,3,5,4.7,2.258,0.2143,0.8387,0.6129,0.703,high,1.0,2021-01-14 17:16:48.000000000,2023,35
LAP-0050,2023-11-29 02:52:48.000000000,laptop,Finance,India,HP,2023,27,200,98.0,34,8,6.0,Office,Windows,False,5,2,0,0,0,2,3.41,0.741,0.0,0.0741,0.2963,0.181,low,1.0,2023-12-22 02:52:48.000000000,2025,12
LAP-0051,2024-10-28 23:02:24.000000000,laptop,Sales,India,HP,2023,16,123,40.0,69,24,7.2,Creative,Windows,True,1,20,1,4,8,7,10.02,12.5,0.05,3.75,1.5,0.617,high,1.0,2024-11-05 23:02:24.000000000,2025,12
LAP-0052,2023-10-29 16:19:12.000000000,laptop,IT,EU,Lenovo,2023,28,100,40.0,63,32,6.3,Creative,Windows,True,1,12,0,2,4,6,10.12,4.286,0.0,2.1429,1.1429,0.582,high,1.0,2023-11-19 16:19:12.000000000,2025,5
LAP-0053,2023-02-28 03:50:23.999999992,laptop,IT,US,Apple,2022,36,126,42.48,57,6,3.7,Office,macOS,False,2,11,0,2,4,5,7.07,3.056,0.0,1.5978,0.1667,0.467,medium,1.0,2023-03-02 03:50:23.999999992,2025,12
LAP-0054,2025-05-30 00:57:36.000000000,laptop,HR,US,Lenovo,2025,9,334,51.97,50,30,9.0,Creative,Windows,True,2,9,0,1,3,5,6.59,9.0,0.0,5.3367,3.3333,0.449,medium,0.89,2025-06-04 00:57:36.000000000,2025,12
LAP-0055,2020-04-29 04:47:59.999999983,laptop,Finance,India,Acer,2020,70,102,26.0,90,50,3.8,Student,Windows,False,1,19,4,5,3,7,9.0,2.714,0.2105,1.0571,0.7143,0.901,high,1.0,2020-05-05 04:47:59.999999983,2025,11
LAP-0056,2022-12-29 06:43:12.000000000,laptop,Finance,India,Dell,2022,38,114,40.0,58,0,6.8,Office,Windows,False,1,20,0,4,8,8,8.8,5.263,0.0,1.5789,0.0,0.545,medium,1.0,2023-01-10 06:43:12.000000000,2025,5
LAP-0057,2023-05-30 11:31:11.999999992,laptop,Sales,EU,Dell,2023,33,100,40.0,58,2,3.5,Office,Windows,False,1,14,0,2,5,7,7.63,4.242,0.0,1.8182,0.0606,0.483,medium,0.71,2023-06-17 11:31:11.999999992,2026,1
LAP-0058,2024-07-29 15:21:36.000000000,laptop,Sales,India,Lenovo,2023,19,143,40.0,61,8,9.0,Creative,Windows,False,1,14,0,2,5,7,8.03,7.368,0.0,3.1579,0.4211,0.484,medium,1.0,2024-08-28 15:21:36.000000000,2025,6
LAP-0059,2022-08-29 12:28:48.000000000,laptop,IT,India,Asus,2022,42,194,57.31,52,25,5.6,Office,Windows,True,2,8,0,1,3,4,6.37,1.905,0.0,1.0164,0.5952,0.478,medium,0.9,2022-09-20 12:28:48.000000000,2025,10
LAP-0060,2019-07-30 05:45:35.999999983,laptop,HR,India,HP,2019,79,117,40.0,82,39,6.0,Programming,Windows,False,2,13,2,4,3,4,7.14,1.646,0.1538,0.7595,0.4937,0.75,high,1.0,2019-08-21 05:45:35.999999983,2025,5
LAP-0061,2023-08-29 19:12:00.000000000,laptop,Finance,India,Dell,2023,30,100,61.03,8,6,4.3,Student,Windows,False,4,4,0,0,1,3,6.36,1.333,0.0,1.299,0.2,0.24,low,0.57,2023-08-30 19:12:00.000000000,2025,4
LAP-0062,2022-05-30 04:48:00.000000000,laptop,Engineering,EU,Asus,2022,45,100,40.0,63,2,7.8,Programming,Windows,False,1,12,0,2,4,6,8.88,2.667,0.0,1.3333,0.0444,0.498,medium,1.0,2022-06-29 04:48:00.000000000,2025,3
LAP-0063,2019-08-29 16:19:11.999999983,laptop,HR,US,Asus,2018,78,100,26.0,93,45,4.3,Student,Windows,False,2,18,2,5,5,6,2.34,2.308,0.1111,0.9487,0.5769,0.881,high,1.0,2019-09-15 16:19:11.999999983,2025,8
LAP-0064,2022-10-29 09:35:59.999999992,laptop,Finance,India,HP,2022,40,199,51.94,59,47,11.8,Creative,Windows,True,2,10,0,2,4,4,8.39,2.5,0.0,1.2015,1.175,0.609,high,1.0,2022-11-28 09:35:59.999999992,2025,12
LAP-0065,2022-12-29 06:43:12.000000000,laptop,Sales,US,Asus,2021,38,100,40.0,51,32,5.0,Creative,Windows,True,1,15,0,3,6,6,10.2,3.947,0.0,1.5789,0.8421,0.609,high,0.46,2023-01-09 06:43:12.000000000,2025,2
LAP-0066,2020-07-29 12:28:48.000000000,laptop,Operations,EU,Acer,2019,67,100,27.0,100,48,11.7,Gaming,Windows,False,2,19,4,5,4,6,5.96,2.836,0.2105,1.0896,0.7164,0.904,high,0.74,2020-08-08 12:28:48.000000000,2025,5
LAP-0067,2024-10-28 23:02:24.000000000,laptop,Sales,India,Lenovo,2024,16,100,60.27,18,38,11.3,Programming,Windows,True,4,2,0,0,0,2,2.89,1.25,0.0,2.4831,2.375,0.341,low,1.0,2024-11-16 23:02:24.000000000,2025,5
LAP-0068,2021-07-29 19:12:00.000000000,laptop,Finance,US,Apple,2020,55,100,40.0,46,1,3.3,Student,macOS,False,2,12,0,2,4,6,7.7,2.182,0.0,1.0909,0.0182,0.481,medium,1.0,2021-08-12 19:12:00.000000000,2025,5
LAP-0069,2024-07-29 15:21:36.000000000,laptop,Finance,EU,Apple,2024,19,106,52.69,49,16,5.1,Programming,macOS,True,2,8,0,1,3,4,9.0,4.211,0.0,2.49,0.8421,0.4,medium,0.4,2024-08-24 15:21:36.000000000,2025,6
LAP-0070,2025-07-29 22:04:48.000000000,laptop,Finance,EU,Apple,2025,7,100,63.58,13,8,4.3,Office,macOS,False,4,2,0,0,0,2,7.78,2.0,0.0,5.2029,1.1429,0.184,low,1.0,2025-08-08 22:04:48.000000000,2025,4
LAP-0071,2024-09-28 12:28:48.000000000,laptop,Engineering,US,Apple,2024,17,100,43.77,41,0,11.9,Creative,macOS,False,2,10,0,2,4,4,12.95,5.882,0.0,3.3076,0.0,0.358,medium,0.91,2024-10-13 12:28:48.000000000,2025,5
LAP-0072,2021-06-29 08:38:23.999999992,laptop,Finance,US,Acer,2020,56,100,56.6,46,2,6.2,Creative,Windows,False,2,11,0,2,4,5,6.24,1.964,0.0,0.775,0.0357,0.435,medium,0.81,2021-07-27 08:38:23.999999992,2025,6
LAP-0073,2023-01-28 17:16:48.000000000,laptop,Sales,India,HP,2022,37,232,44.53,55,9,11.2,Programming,Windows,False,2,8,0,1,3,4,8.7,2.162,0.0,1.4992,0.2432,0.442,medium,1.0,2023-02-16 17:16:48.000000000,2025,10
LAP-0074,2022-12-29 06:43:12.000000000,laptop,Engineering,India,Dell,2022,38,100,54.87,39,25,4.2,Student,Windows,True,2,8,0,1,3,4,11.54,2.105,0.0,1.1876,0.6579,0.45,medium,1.0,2023-01-02 06:43:12.000000000,2025,5
LAP-0075,2020-03-29 18:14:23.999999983,laptop,Engineering,EU,Dell,2019,71,158,28.0,92,47,5.7,Office,Windows,False,2,18,3,5,4,6,4.7,2.535,0.1667,1.0141,0.662,0.88,high,1.0,2020-03-31 18:14:23.999999983,2025,7
LAP-0076,2021-02-27 14:23:59.999999992,laptop,Finance,India,Dell,2021,60,100,33.0,97,49,4.0,Office,Windows,True,1,20,4,5,5,6,7.27,3.333,0.2,1.1167,0.8167,0.883,high,1.0,2021-03-08 14:23:59.999999992,2025,4
LAP-0077,2021-04-29 11:31:12.000000000,laptop,IT,India,Dell,2021,58,155,40.0,75,4,10.8,Gaming,Windows,False,1,18,0,3,7,8,11.86,3.103,0.0,1.0345,0.069,0.617,high,0.84,2021-05-09 11:31:12.000000000,2025,9
LAP-0078,2023-01-28 17:16:48.000000000,laptop,Engineering,US,HP,2023,37,256,52.43,47,35,9.6,Gaming,Windows,True,2,8,0,1,3,4,6.0,2.162,0.0,1.2857,0.9459,0.51,medium,1.0,2023-02-25 17:16:48.000000000,2025,11
LAP-0079,2022-12-29 06:43:12.000000000,laptop,IT,US,Apple,2021,38,100,52.9,34,32,4.8,Student,macOS,True,2,8,0,1,3,4,11.05,2.105,0.0,1.2395,0.8421,0.473,medium,0.67,2023-01-09 06:43:12.000000000,2026,1
LAP-0080,2019-09-29 02:52:47.999999992,laptop,Finance,US,HP,2018,77,168,29.0,99,47,5.3,Programming,Windows,False,2,20,2,7,4,7,7.21,2.597,0.1,0.9221,0.6104,0.914,high,1.0,2019-10-13 02:52:47.999999992,2025,9
LAP-0081,2020-04-29 04:47:59.999999983,laptop,IT,US,HP,2020,70,100,24.0,99,45,4.4,Student,Windows,False,1,20,3,5,6,6,8.0,2.857,0.15,1.0857,0.6429,0.914,high,0.59,2020-05-06 04:47:59.999999983,2025,8
LAP-0082,2025-01-28 06:43:12.000000000,laptop,Finance,EU,Lenovo,2025,13,100,51.04,52,8,4.9,Student,Windows,False,2,11,0,2,4,5,9.44,8.462,0.0,3.7662,0.6154,0.395,medium,1.0,2025-02-20 06:43:12.000000000,2025,6
LAP-0083,2022-09-28 23:02:24.000000000,laptop,IT,US,Acer,2022,41,122,40.0,63,5,9.3,Gaming,Windows,False,1,16,0,3,6,7,6.92,3.902,0.0,1.4634,0.122,0.541,medium,1.0,2022-10-13 23:02:24.000000000,2025,5
LAP-0084,2024-10-28 23:02:24.000000000,laptop,Sales,EU,Acer,2024,16,168,76.92,24,5,11.2,Gaming,Windows,False,4,4,0,0,1,3,6.66,2.5,0.0,1.4425,0.3125,0.199,low,1.0,2024-11-19 23:02:24.000000000,2025,7
LAP-0085,2019-04-29 22:04:48.000000009,laptop,IT,India,Apple,2019,82,100,30.0,95,45,3.6,Student,macOS,False,1,18,3,5,5,5,3.81,2.195,0.1667,0.8537,0.5488,0.875,high,0.87,2019-05-18 22:04:48.000000009,2025,5
LAP-0086,2019-02-28 00:57:36.000000000,laptop,IT,EU,Asus,2018,84,140,21.0,98,46,11.5,Gaming,Windows,True,2,17,2,6,3,6,6.62,2.024,0.1176,0.9405,0.5476,0.898,high,1.0,2019-03-22 00:57:36.000000000,2025,5
LAP-0087,2020-03-29 18:14:23.999999983,laptop,Engineering,US,Lenovo,2020,71,142,35.0,77,39,3.3,Office,Windows,True,3,14,2,4,4,4,9.04,1.972,0.1429,0.9155,0.5493,0.76,high,0.81,2020-04-13 18:14:23.999999983,2025,8
LAP-0088,2022-02-27 21:07:11.999999992,laptop,IT,US,Lenovo,2022,48,100,77.48,1,2,7.8,Creative,Windows,False,4,5,0,0,2,3,5.03,1.042,0.0,0.4692,0.0417,0.216,low,1.0,2022-03-29 21:07:11.999999992,2025,3
LAP-0089,2023-12-29 13:26:23.999999992,laptop,IT,EU,Dell,2023,26,119,40.0,67,19,11.2,Creative,Windows,True,1,14,0,2,5,7,7.52,5.385,0.0,2.3077,0.7308,0.554,high,1.0,2024-01-26 13:26:23.999999992,2025,7
LAP-0090,2023-11-29 02:52:48.000000000,laptop,Operations,US,Apple,2022,27,100,57.15,37,9,3.6,Student,macOS,False,2,8,0,1,3,4,10.91,2.963,0.0,1.587,0.3333,0.353,medium,1.0,2023-12-23 02:52:48.000000000,2025,2
LAP-0091,2024-08-29 01:55:11.999999992,laptop,Operations,US,Acer,2023,18,183,72.76,13,7,7.3,Programming,Windows,False,4,5,0,0,2,3,9.1,2.778,0.0,1.5133,0.3889,0.21,low,1.0,2024-09-06 01:55:11.999999992,2025,8
LAP-0092,2025-04-29 14:24:00.000000000,laptop,IT,US,HP,2025,10,246,40.0,83,0,8.1,Gaming,Windows,False,1,18,0,3,7,8,9.4,18.0,0.0,6.0,0.0,0.517,medium,1.0,2025-05-10 14:24:00.000000000,2025,12
LAP-0093,2023-04-30 00:57:36.000000000,laptop,HR,India,HP,2022,34,100,60.19,3,4,6.3,Office,Windows,False,4,5,0,0,2,3,8.84,1.471,0.0,1.1709,0.1176,0.242,low,0.38,2023-05-29 00:57:36.000000000,2025,4
LAP-0094,2020-07-29 12:28:48.000000000,laptop,Sales,India,Dell,2020,67,100,27.0,97,50,9.7,Creative,Windows,True,1,17,3,4,4,6,9.75,2.537,0.1765,1.0896,0.7463,0.886,high,0.45,2020-08-07 12:28:48.000000000,2025,2
LAP-0095,2021-03-30 00:57:36.000000000,laptop,IT,India,Asus,2021,59,114,40.0,71,8,6.7,Programming,Windows,False,1,19,0,3,7,9,10.9,3.22,0.0,1.0169,0.1356,0.637,high,0.33,2021-04-14 00:57:36.000000000,2025,7
LAP-0096,2021-04-29 11:31:12.000000000,laptop,Engineering,EU,Dell,2021,58,148,40.0,49,12,7.1,Office,Windows,True,2,12,0,2,4,6,7.49,2.069,0.0,1.0345,0.2069,0.537,medium,0.79,2021-04-30 11:31:12.000000000,2025,10
LAP-0097,2023-04-30 00:57:36.000000000,laptop,Sales,US,Apple,2023,34,100,55.58,45,5,7.0,Creative,macOS,False,2,10,0,2,4,4,10.48,2.941,0.0,1.3065,0.1471,0.392,medium,1.0,2023-05-30 00:57:36.000000000,2025,4
LAP-0098,2023-07-30 08:38:24.000000000,laptop,Engineering,US,Acer,2023,31,100,40.0,61,4,5.0,Student,Windows,False,1,12,0,2,4,6,6.54,3.871,0.0,1.9355,0.129,0.473,medium,1.0,2023-07-31 08:38:24.000000000,2025,8
LAP-0099,2023-07-30 08:38:24.000000000,laptop,Sales,US,Apple,2022,31,100,55.74,53,4,3.3,Student,macOS,False,2,10,0,2,4,4,9.8,3.226,0.0,1.4277,0.129,0.397,medium,1.0,2023-08-18 08:38:24.000000000,2025,7
LAP-0100,2024-04-29 07:40:47.999999992,laptop,Engineering,EU,Apple,2023,22,113,40.0,68,34,7.9,Programming,macOS,True,1,16,0,3,6,7,10.89,7.273,0.0,2.7273,1.5455,0.628,high,0.8,2024-05-02 07:40:47.999999992,2025,6
LAP-0101,2021-02-27 14:23:59.999999992,laptop,Engineering,EU,Apple,2020,60,100,25.0,88,46,7.7,Office,macOS,False,2,18,2,5,5,6,8.19,3.0,0.1111,1.25,0.7667,0.853,high,1.0,2021-03-09 14:23:59.999999992,2025,3
